,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021,Jul-2021,Aug-2021,Sep-2021,Oct-2021,Nov-2021,Dec-2021,Jan-2022,Feb-2022,Mar-2022,Apr-2022,May-2022,Jun-2022,Jul-2022,Aug-2022,Sep-2022,Oct-2022,Nov-2022,Dec-2022,Jan-2023,Feb-2023,Mar-2023
Drug Overdose Deaths,39,44,51,51,70,73,72,75,65,65,56,64,65,70,53,52,45,50,52,46,56,45,53,53,50,51,41,54,50,59,43,50,61,52,61,75,83,52,68
SARS-CoV-2 Deaths,0,0,9,26,13,4,18,24,35,31,13,88,165,98,23,11,5,5,12,35,39,19,8,12,74,76,20,11,30,33,47,54,25,8,21,53,17,13,15
